"Bradi0012s00100.1"	"GO:0003746;GO:0003924;GO:0005525;GO:0005737;GO:0006414"
"Bradi1g36810.7"	"GO:0005643;GO:0016973"
"Bradi1g36820.1"	"GO:0003924;GO:0005525;GO:0005622;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020"
"Bradi1g36830.1"	"GO:0005524;GO:0005737;GO:0016787;GO:0030163"
"Bradi1g36840.1"	"GO:0005515"
"Bradi1g36847.2"	"GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020;GO:0016747"
"Bradi1g36860.1"	"unknown"
"Bradi1g36880.2"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g36890.1"	"GO:0071949"
"Bradi1g36900.3"	"GO:0005515"
"Bradi1g36907.3"	"GO:0003676;GO:0005515"
"Bradi1g36920.1"	"GO:0003824;GO:0004722;GO:0006470"
"Bradi1g36930.1"	"GO:0005634;GO:0006355"
"Bradi1g36941.1"	"unknown"
"Bradi1g36950.2"	"GO:0006633;GO:0016790"
"Bradi1g36960.1"	"GO:0004747;GO:0006014"
"Bradi1g36965.1"	"unknown"
"Bradi1g36980.1"	"GO:0016747"
"Bradi1g36990.1"	"GO:0016747"
"Bradi1g37000.1"	"GO:0016020;GO:0016021;GO:0022891;GO:0055085"
"Bradi1g37010.2"	"GO:0005515"
"Bradi1g37020.1"	"GO:0003824;GO:0008152"
"Bradi1g37030.1"	"GO:0008152;GO:0016758"
"Bradi1g37040.1"	"GO:0008152;GO:0016491"
"Bradi1g37070.2"	"GO:0055085"
"Bradi1g37080.1"	"GO:0003677;GO:0043565"
"Bradi1g37090.1"	"GO:0008152;GO:0016491;GO:0016620;GO:0055114"
"Bradi1g37100.1"	"GO:0019825;GO:0020037"
"Bradi1g37112.1"	"unknown"
"Bradi1g37120.1"	"GO:0008152;GO:0016758"
"Bradi1g37130.6"	"GO:0005515"
"Bradi1g37175.1"	"GO:0008152;GO:0016491"
"Bradi1g37183.1"	"unknown"
"Bradi1g37190.1"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g37200.1"	"GO:0000166;GO:0003676;GO:0003723"
"Bradi1g37205.1"	"unknown"
"Bradi1g37210.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g37220.1"	"unknown"
"Bradi1g37230.1"	"GO:0005215;GO:0005524;GO:0006810;GO:0016021;GO:0016887"
"Bradi1g37242.1"	"unknown"
"Bradi1g37250.2"	"GO:0005515"
"Bradi1g37270.3"	"unknown"
"Bradi1g37290.4"	"GO:0004407;GO:0016575"
"Bradi1g37304.1"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g37311.4"	"unknown"
"Bradi1g37330.3"	"GO:0005215;GO:0006810;GO:0016020"
"Bradi1g37337.1"	"unknown"
"Bradi1g37360.1"	"GO:0016787"
"Bradi1g37370.1"	"GO:0005488"
"Bradi1g37377.1"	"GO:0004672;GO:0004713;GO:0004842;GO:0005524;GO:0006468;GO:0006950;GO:0016567"
"Bradi1g37390.1"	"unknown"
"Bradi1g37396.1"	"unknown"
"Bradi1g37410.1"	"GO:0006950;GO:0009415"
"Bradi1g37430.1"	"unknown"
"Bradi1g37450.2"	"GO:0004553;GO:0005975"
"Bradi1g37460.1"	"GO:0016021"
"Bradi1g37480.1"	"GO:0003700;GO:0006355;GO:0008270;GO:0043565"
"Bradi1g37490.3"	"GO:0003746;GO:0005515;GO:0006414"
"Bradi1g37510.1"	"unknown"
"Bradi1g37520.1"	"unknown"
"Bradi1g37547.1"	"GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"Bradi1g37576.1"	"GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"Bradi1g37582.2"	"GO:0005524;GO:0015991;GO:0015992;GO:0016820;GO:0033178;GO:0033180;GO:0046034"
"Bradi1g37590.4"	"GO:0016021"
"Bradi1g37600.1"	"GO:0005507;GO:0016491;GO:0055114"
"Bradi1g37620.1"	"GO:0005507;GO:0005576;GO:0016491;GO:0055114"
"Bradi1g37626.8"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g37632.1"	"unknown"
"Bradi1g37650.1"	"unknown"
"Bradi1g37660.3"	"unknown"
"Bradi1g37667.1"	"GO:0005385;GO:0016020;GO:0016021;GO:0030001;GO:0046873;GO:0055085;GO:0071577"
"Bradi1g37679.1"	"unknown"
"Bradi1g37685.1"	"unknown"
"Bradi1g37692.5"	"GO:0000166;GO:0003676"
"Bradi1g37700.5"	"GO:0000166;GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0046872"
"Bradi1g37710.4"	"unknown"
"Bradi1g37730.1"	"GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"Bradi1g37736.2"	"GO:0005515"
"Bradi1g37739.1"	"unknown"
"Bradi1g37742.1"	"unknown"
"Bradi1g37750.4"	"GO:0004144;GO:0008374;GO:0019432"
"Bradi1g37760.2"	"GO:0000159;GO:0005515;GO:0008601"
"Bradi1g37770.6"	"unknown"
"Bradi1g37775.1"	"GO:0003676;GO:0008270"
"Bradi1g37780.1"	"GO:0005509;GO:0006355"
"Bradi1g37782.1"	"unknown"
"Bradi1g37790.1"	"GO:0005524;GO:0005737;GO:0006457;GO:0042026;GO:0051082"
"Bradi1g37800.2"	"GO:0003677;GO:0006355"
"Bradi1g37810.1"	"unknown"
"Bradi1g37826.3"	"GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085"
"Bradi1g37830.1"	"unknown"
"Bradi1g37834.1"	"unknown"
"Bradi1g37840.4"	"GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085"
"Bradi1g37860.5"	"GO:0006812;GO:0015299;GO:0016021;GO:0055085"
"Bradi1g37870.1"	"GO:0005506;GO:0005737;GO:0019310;GO:0050113;GO:0055114"
"Bradi1g37876.1"	"unknown"
"Bradi1g37880.1"	"GO:0016788"
"Bradi1g37890.2"	"unknown"
"Bradi1g37898.1"	"GO:0003677;GO:0006355"
"Bradi1g37913.1"	"unknown"
"Bradi1g37920.1"	"GO:0003993"
"Bradi1g37930.1"	"unknown"
"Bradi1g37940.1"	"GO:0003723;GO:0004652;GO:0005634;GO:0016779;GO:0031123;GO:0043631"
"Bradi1g37960.2"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g37963.1"	"unknown"
"Bradi1g37967.15"	"GO:0016021"
"Bradi1g37990.1"	"unknown"
"Bradi1g38000.1"	"GO:0019988;GO:0043399"
"Bradi1g38010.1"	"GO:0000166;GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g38025.1"	"GO:0005524;GO:0016020;GO:0016887"
"Bradi1g38040.7"	"GO:0003777;GO:0005515;GO:0005524;GO:0005871;GO:0007018;GO:0008017"
"Bradi1g38050.1"	"unknown"
"Bradi1g38080.1"	"unknown"
"Bradi1g38100.1"	"GO:0005515;GO:0008270"
"Bradi1g38112.1"	"GO:0016491;GO:0055114"
"Bradi1g38120.1"	"unknown"
"Bradi1g38140.2"	"GO:0003700;GO:0005634;GO:0006355;GO:0043565"
"Bradi1g38150.1"	"unknown"
"Bradi1g38170.1"	"GO:0046872"
"Bradi1g38180.1"	"unknown"
"Bradi1g38186.1"	"unknown"
"Bradi1g38190.1"	"GO:0003924;GO:0005525;GO:0005622;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020"
"Bradi1g38210.1"	"unknown"
"Bradi1g38227.1"	"GO:0003676;GO:0003723;GO:0003735;GO:0005515;GO:0005622;GO:0005634;GO:0005840;GO:0006396;GO:0006397;GO:0006412"
"Bradi1g38250.1"	"GO:0003824;GO:0016491;GO:0016614;GO:0050660;GO:0055114"
"Bradi1g38280.1"	"GO:0003824;GO:0006520;GO:0008483;GO:0009058;GO:0030170"
"Bradi1g38297.2"	"GO:0004601;GO:0006979;GO:0020037;GO:0055114"
"Bradi1g38303.1"	"unknown"
"Bradi1g38321.1"	"unknown"
"Bradi1g38325.1"	"unknown"
"Bradi1g38330.2"	"unknown"
"Bradi1g38340.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0007165"
"Bradi1g38360.1"	"unknown"
"Bradi1g38370.5"	"GO:0000139;GO:0005338;GO:0005351;GO:0008643;GO:0015780;GO:0016021;GO:0055085"
"Bradi1g38380.1"	"GO:0005515;GO:0005622;GO:0006396"
"Bradi1g38390.1"	"GO:0003677;GO:0003899;GO:0006351"
"Bradi1g38400.1"	"GO:0006520;GO:0016597;GO:0016743"
"Bradi1g38410.1"	"unknown"
"Bradi1g38525.1"	"GO:0030246"
"Bradi1g38577.1"	"GO:0003700;GO:0005667;GO:0006355"
"Bradi1g38630.1"	"GO:0005840"
"Bradi1g38640.1"	"unknown"
"Bradi1g38650.1"	"GO:0046983"
"Bradi1g38660.2"	"GO:0003677;GO:0005524;GO:0016787"
"Bradi1g38670.1"	"GO:0003824;GO:0004722;GO:0006470"
"Bradi1g38680.8"	"GO:0005216;GO:0005249;GO:0006811;GO:0006813;GO:0016020;GO:0055085"
"Bradi1g38683.1"	"GO:0003676;GO:0008270"
"Bradi1g38687.6"	"GO:0003824;GO:0006595"
"Bradi1g38700.1"	"GO:0005515;GO:0008270"
"Bradi1g38705.5"	"GO:0005515"
"Bradi1g38712.1"	"unknown"
"Bradi1g38715.1"	"unknown"
"Bradi1g38720.1"	"unknown"
"Bradi1g38740.1"	"unknown"
"Bradi1g38744.1"	"unknown"
"Bradi1g38755.1"	"GO:0004553;GO:0005975"
"Bradi1g38760.1"	"unknown"
"Bradi1g38770.1"	"GO:0016788"
"Bradi1g38780.3"	"GO:0016788"
"Bradi1g38790.1"	"GO:0003824"
"Bradi1g38837.1"	"unknown"
"Bradi1g38889.1"	"unknown"
"Bradi1g38905.1"	"unknown"
"Bradi1g38928.1"	"unknown"
"Bradi1g39030.8"	"GO:0005515;GO:0008270"
"Bradi1g39042.1"	"unknown"
"Bradi1g39061.1"	"unknown"
"Bradi1g39070.5"	"unknown"
"Bradi1g39081.1"	"unknown"
"Bradi1g39090.1"	"GO:0005524;GO:0005737;GO:0006457;GO:0042026;GO:0051082"
"Bradi1g39097.2"	"unknown"
"Bradi1g39110.1"	"GO:0003333;GO:0006810;GO:0015171;GO:0016020;GO:0055085"
"Bradi1g39120.1"	"GO:0006869;GO:0008289"
"Bradi1g39135.1"	"GO:0006397"
"Bradi1g39150.2"	"GO:0000166;GO:0003676"
"Bradi1g39160.1"	"GO:0004665;GO:0006571;GO:0008977;GO:0055114"
"Bradi1g39167.2"	"GO:0003824;GO:0006099;GO:0008964;GO:0015977"
"Bradi1g39192.1"	"GO:0009512;GO:0017004;GO:0045158"
"Bradi1g39195.1"	"GO:0003677;GO:0003899;GO:0006351"
"Bradi1g39196.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0015935"
"Bradi1g39199.1"	"GO:0008137;GO:0055114"
"Bradi1g39203.1"	"GO:0015986;GO:0045261;GO:0046933;GO:0046961"
"Bradi1g39204.1"	"GO:0005524;GO:0015986;GO:0015991;GO:0015992;GO:0016820;GO:0033178;GO:0046034;GO:0046933"
"Bradi1g39206.1"	"GO:0000287;GO:0015977;GO:0016984"
"Bradi1g39207.1"	"GO:0009522;GO:0015979"
"Bradi1g39208.1"	"GO:0009522;GO:0009579;GO:0015979;GO:0016021"
"Bradi1g39209.1"	"GO:0016021"
"Bradi1g39211.1"	"GO:0005506;GO:0009055;GO:0015979;GO:0020037;GO:0031361"
"Bradi1g39212.1"	"GO:0009523;GO:0009539;GO:0015979;GO:0016020"
"Bradi1g39214.1"	"GO:0009512"
"Bradi1g39216.1"	"GO:0009522;GO:0015979"
"Bradi1g39217.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g39220.3"	"unknown"
"Bradi1g39223.1"	"GO:0009522;GO:0009579;GO:0015979;GO:0016021;GO:0046872"
"Bradi1g39225.1"	"unknown"
"Bradi1g39226.1"	"GO:0003677;GO:0003899;GO:0006351;GO:0032549"
"Bradi1g39227.1"	"GO:0003677;GO:0003899;GO:0006351"
"Bradi1g39228.1"	"GO:0015078;GO:0015986"
"Bradi1g39232.1"	"GO:0005515"
"Bradi1g39233.1"	"GO:0005524;GO:0015986;GO:0015991;GO:0015992;GO:0016820;GO:0033178;GO:0045261;GO:0046034;GO:0046933;GO:0046961"
"Bradi1g39234.1"	"GO:0003723;GO:0003735;GO:0005622;GO:0006412;GO:0015935;GO:0019843"
"Bradi1g39239.1"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412"
"Bradi1g39244.1"	"GO:0009522;GO:0009579;GO:0015979;GO:0016021"
"Bradi1g39247.2"	"unknown"
"Bradi1g39260.1"	"GO:0005515"
"Bradi1g39270.1"	"GO:0005515"
"Bradi1g39278.1"	"unknown"
"Bradi1g39284.1"	"unknown"
"Bradi1g39290.2"	"unknown"
"Bradi1g39305.1"	"unknown"
"Bradi1g39311.1"	"unknown"
"Bradi1g39346.1"	"unknown"
"Bradi1g39363.2"	"GO:0016020"
"Bradi1g39436.15"	"GO:0005488"
"Bradi1g39510.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g39520.5"	"GO:0005886;GO:0008565;GO:0009306;GO:0015031;GO:0016020;GO:0016021"
"Bradi1g39670.1"	"unknown"
"Bradi1g39720.1"	"GO:0003723;GO:0003743;GO:0006413"
"Bradi1g39920.2"	"unknown"
"Bradi1g39927.1"	"GO:0003677;GO:0046983"
"Bradi1g39938.1"	"GO:0005488;GO:0005515"
"Bradi1g39950.4"	"GO:0003677"
"Bradi1g40150.2"	"unknown"
"Bradi1g40178.1"	"GO:0006886;GO:0006888;GO:0008270;GO:0030127"
"Bradi1g40206.2"	"unknown"
"Bradi1g40350.1"	"GO:0006355"
"Bradi1g40407.3"	"unknown"
"Bradi1g40464.1"	"GO:0005524;GO:0016020;GO:0016887"
"Bradi1g40543.1"	"unknown"
"Bradi1g40622.3"	"unknown"
"Bradi1g40710.1"	"unknown"
"Bradi1g40732.1"	"unknown"
"Bradi1g40780.1"	"GO:0005622;GO:0006886"
"Bradi1g40980.1"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g40985.1"	"unknown"
"Bradi1g40997.1"	"unknown"
"Bradi1g41010.7"	"GO:0003723;GO:0003735;GO:0006412;GO:0015934"
"Bradi1g41115.1"	"GO:0004601;GO:0006979;GO:0020037;GO:0055114"
"Bradi1g41221.8"	"unknown"
"Bradi1g41640.1"	"unknown"
"Bradi1g41670.2"	"GO:0003676;GO:0003723"
"Bradi1g41698.3"	"unknown"
"Bradi1g41712.2"	"GO:0003677;GO:0006355"
"Bradi1g41740.1"	"GO:0003824;GO:0006520;GO:0008483;GO:0016829;GO:0030170"
"Bradi1g41750.1"	"unknown"
"Bradi1g41760.2"	"unknown"
"Bradi1g41770.2"	"GO:0003677;GO:0003824;GO:0004518;GO:0005515;GO:0006281"
"Bradi1g41775.2"	"unknown"
"Bradi1g41780.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0016020;GO:0016773"
"Bradi1g41790.3"	"GO:0030001;GO:0046872"
"Bradi1g41797.1"	"unknown"
"Bradi1g41802.1"	"unknown"
"Bradi1g41809.1"	"GO:0000126;GO:0006352;GO:0006355;GO:0006384;GO:0008270;GO:0017025"
"Bradi1g41820.5"	"GO:0008152;GO:0016787"
"Bradi1g41822.1"	"unknown"
"Bradi1g41824.1"	"GO:0043531"
"Bradi1g41826.1"	"unknown"
"Bradi1g41830.3"	"GO:0006979;GO:0016671;GO:0030091;GO:0033743;GO:0055114"
"Bradi1g41840.1"	"GO:0005783;GO:0006886;GO:0016021"
"Bradi1g41850.2"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g41860.10"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g41907.2"	"GO:0003824;GO:0005524;GO:0016301;GO:0016310"
"Bradi1g41930.5"	"GO:0005634;GO:0042254"
"Bradi1g41940.1"	"unknown"
"Bradi1g41947.5"	"unknown"
"Bradi1g41957.2"	"GO:0005975;GO:0016868"
"Bradi1g41970.2"	"GO:0003824;GO:0003844;GO:0004553;GO:0005975;GO:0005978;GO:0043169"
"Bradi1g41980.1"	"GO:0003723;GO:0004525;GO:0006396"
"Bradi1g41990.3"	"GO:0003746;GO:0003924;GO:0005525;GO:0005622;GO:0006414"
"Bradi1g41993.1"	"GO:0003677"
"Bradi1g41996.2"	"unknown"
"Bradi1g42000.1"	"GO:0003824;GO:0016866"
"Bradi1g42010.1"	"GO:0005515;GO:0008565;GO:0031204"
"Bradi1g42030.1"	"unknown"
"Bradi1g42035.1"	"unknown"
"Bradi1g42040.7"	"GO:0003677"
"Bradi1g42250.1"	"GO:0005515"
"Bradi1g42254.1"	"unknown"
"Bradi1g42257.2"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g42270.1"	"GO:0008152;GO:0016616;GO:0051287;GO:0055114"
"Bradi1g42280.1"	"GO:0006508;GO:0008234"
"Bradi1g42310.5"	"GO:0000166;GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0046872"
"Bradi1g42320.1"	"GO:0003723;GO:0006396"
"Bradi1g42340.1"	"GO:0003824;GO:0008270"
"Bradi1g42347.7"	"GO:0016021"
"Bradi1g42360.2"	"GO:0005515"
"Bradi1g42370.4"	"unknown"
"Bradi1g42377.2"	"GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g42390.1"	"GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085"
"Bradi1g42397.5"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g42410.2"	"GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085"
"Bradi1g42420.1"	"GO:0003676;GO:0008270"
"Bradi1g42430.1"	"unknown"
"Bradi1g42458.4"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g42467.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g42478.1"	"unknown"
"Bradi1g42490.11"	"unknown"
"Bradi1g42520.1"	"unknown"
"Bradi1g42530.1"	"unknown"
"Bradi1g42540.2"	"unknown"
"Bradi1g42550.1"	"GO:0016787"
"Bradi1g42556.1"	"unknown"
"Bradi1g42562.1"	"unknown"
"Bradi1g42571.1"	"unknown"
"Bradi1g42580.1"	"GO:0004791;GO:0005737;GO:0016491;GO:0019430;GO:0055114"
"Bradi1g42594.2"	"unknown"
"Bradi1g42602.1"	"GO:0047400"
"Bradi1g42610.1"	"GO:0016021;GO:0055085"
"Bradi1g42620.1"	"unknown"
"Bradi1g42630.3"	"GO:0003872;GO:0005524;GO:0006096;GO:0047334"
"Bradi1g42640.1"	"GO:0005759"
"Bradi1g42650.1"	"GO:0016747"
"Bradi1g42660.1"	"unknown"
"Bradi1g42670.1"	"GO:0009765;GO:0016020"
"Bradi1g42680.1"	"unknown"
"Bradi1g42700.1"	"unknown"
"Bradi1g42707.2"	"GO:0005515;GO:0006508;GO:0008236"
"Bradi1g42720.3"	"GO:0005515;GO:0008270;GO:0046872"
"Bradi1g42730.1"	"GO:0005515"
"Bradi1g42750.1"	"GO:0005515"
"Bradi1g42756.1"	"unknown"
"Bradi1g42760.1"	"GO:0008168"
"Bradi1g42770.1"	"GO:0004553;GO:0005975"
"Bradi1g42780.1"	"GO:0005615;GO:0008289"
"Bradi1g42790.1"	"unknown"
"Bradi1g42800.3"	"GO:0000226;GO:0000910;GO:0005975;GO:0008017"
"Bradi1g42806.1"	"unknown"
"Bradi1g42810.1"	"GO:0006470;GO:0008138;GO:0016311;GO:0016791"
"Bradi1g42820.1"	"GO:0006457;GO:0015031"
"Bradi1g42860.8"	"unknown"
"Bradi1g42880.1"	"GO:0003824"
"Bradi1g42900.1"	"GO:0004601;GO:0006979;GO:0020037;GO:0055114"
"Bradi1g42930.1"	"GO:0004190;GO:0006508"
"Bradi1g42940.1"	"GO:0003723"
"Bradi1g42960.2"	"GO:0005515"
"Bradi1g42970.1"	"unknown"
"Bradi1g42980.3"	"GO:0005488"
"Bradi1g42990.1"	"GO:0016020"
"Bradi1g43000.2"	"GO:0005515;GO:0008270"
"Bradi1g43087.1"	"unknown"
"Bradi1g43090.1"	"unknown"
"Bradi1g43097.8"	"GO:0005515"
"Bradi1g43110.1"	"unknown"
"Bradi1g43120.1"	"unknown"
"Bradi1g43140.1"	"GO:0005216;GO:0006810;GO:0016021;GO:0016192"
"Bradi1g43160.1"	"GO:0008152;GO:0016491"
"Bradi1g43170.1"	"GO:0008152;GO:0016491"
"Bradi1g43200.1"	"unknown"
"Bradi1g43210.1"	"GO:0005515"
"Bradi1g43220.1"	"GO:0005515;GO:0005622;GO:0008270"
"Bradi1g43230.1"	"GO:0005515"
"Bradi1g43240.1"	"unknown"
"Bradi1g43250.1"	"unknown"
"Bradi1g43256.1"	"unknown"
"Bradi1g43260.1"	"unknown"
"Bradi1g43291.1"	"unknown"
"Bradi1g43300.3"	"unknown"
"Bradi1g43310.3"	"unknown"
"Bradi1g43341.1"	"unknown"
"Bradi1g43347.1"	"unknown"
"Bradi1g43350.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g43365.1"	"GO:0006950"
"Bradi1g43396.1"	"unknown"
"Bradi1g43410.1"	"GO:0008152;GO:0016758"
"Bradi1g43417.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g43430.1"	"unknown"
"Bradi1g43440.5"	"GO:0005488"
"Bradi1g43447.2"	"GO:0016491;GO:0055114"
"Bradi1g43510.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0030246"
"Bradi1g43520.1"	"GO:0003677;GO:0003721;GO:0003964"
"Bradi1g43525.1"	"unknown"
"Bradi1g43540.1"	"unknown"
"Bradi1g43560.1"	"unknown"
"Bradi1g43570.2"	"GO:0016773"
"Bradi1g43580.1"	"GO:0004672;GO:0004713;GO:0005524;GO:0006468"
"Bradi1g43590.2"	"GO:0005515;GO:0008270"
"Bradi1g43607.2"	"GO:0003677;GO:0003916;GO:0003917;GO:0005694;GO:0006265"
"Bradi1g43620.2"	"GO:0005515"
"Bradi1g43630.2"	"GO:0003333"
"Bradi1g43637.1"	"GO:0004842;GO:0005488;GO:0005515;GO:0016491;GO:0016567;GO:0055114"
"Bradi1g43650.1"	"GO:0046983"
"Bradi1g43670.1"	"GO:0005515;GO:0005622;GO:0008270"
"Bradi1g43680.1"	"GO:0004601;GO:0006979;GO:0020037;GO:0055114"
"Bradi1g43690.1"	"GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468"
"Bradi1g43700.1"	"GO:0005488;GO:0006886;GO:0008536"
"Bradi1g43705.1"	"unknown"
"Bradi1g43710.1"	"GO:0003677"
"Bradi1g43723.1"	"unknown"
"Bradi1g43730.1"	"GO:0006520;GO:0016597;GO:0016743"
"Bradi1g43750.1"	"GO:0005515;GO:0008270"
"Bradi1g43760.1"	"GO:0008152;GO:0016758"
"Bradi1g43770.1"	"GO:0008152;GO:0016491;GO:0016620;GO:0055114"
"Bradi1g43780.1"	"GO:0015079;GO:0016020;GO:0071805"
"Bradi1g43787.1"	"unknown"
"Bradi1g43800.1"	"GO:0016020;GO:0016021"
"Bradi1g43810.1"	"GO:0015743"
"Bradi1g43820.1"	"GO:0004190;GO:0006508"
"Bradi1g43830.2"	"GO:0006914;GO:0007165"
"Bradi1g43833.1"	"unknown"
"Bradi1g43840.1"	"GO:0003677;GO:0006355"
"Bradi1g43851.1"	"unknown"
"Bradi1g43860.1"	"GO:0009055"
"Bradi1g43876.2"	"unknown"
"Bradi1g43900.6"	"GO:0003700;GO:0006351;GO:0006355;GO:0043565"
"Bradi1g43927.1"	"unknown"
"Bradi1g43931.1"	"unknown"
"Bradi1g43940.5"	"unknown"
"Bradi1g43950.2"	"unknown"
"Bradi1g43960.4"	"GO:0003998"
"Bradi1g43970.1"	"GO:0005215;GO:0006810;GO:0016020"
"Bradi1g43980.4"	"GO:0003684;GO:0005515;GO:0005634;GO:0006289;GO:0043161"
"Bradi1g43990.1"	"GO:0005515;GO:0005622;GO:0008270"
"Bradi1g44000.1"	"GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020;GO:0016747"
"Bradi1g44005.1"	"unknown"
"Bradi1g44010.1"	"GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020;GO:0016747"
"Bradi1g44015.1"	"unknown"
"Bradi1g44020.1"	"GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020;GO:0016747"
"Bradi1g44030.1"	"GO:0003824;GO:0006633;GO:0008152;GO:0008610;GO:0016020;GO:0016747"
"Bradi1g44040.1"	"unknown"
"Bradi1g44043.1"	"unknown"
"Bradi1g44047.3"	"GO:0005524;GO:0016307;GO:0046488"
"Bradi1g44060.6"	"GO:0003824;GO:0004616;GO:0005975;GO:0008270;GO:0016491;GO:0016832;GO:0051287;GO:0055114"
"Bradi1g44090.1"	"GO:0009186;GO:0016491;GO:0055114"
"Bradi1g44093.1"	"unknown"
"Bradi1g44100.1"	"GO:0006614;GO:0008312;GO:0045900;GO:0048500"
"Bradi1g44110.1"	"GO:0003824;GO:0004553;GO:0005975"
"Bradi1g44120.1"	"unknown"
"Bradi1g44137.4"	"GO:0006629;GO:0016042"
"Bradi1g44147.1"	"GO:0000166;GO:0003676"
"Bradi1g44160.1"	"GO:0000796;GO:0005488;GO:0007076"
"Bradi1g44170.1"	"GO:0016787"
"Bradi1g44177.4"	"GO:0003677;GO:0003723;GO:0005524;GO:0016787;GO:0042393"
"Bradi1g44190.3"	"GO:0016491;GO:0055114"
"Bradi1g44200.2"	"unknown"
"Bradi1g44207.1"	"GO:0005509"
"Bradi1g44220.1"	"unknown"
"Bradi1g44250.2"	"unknown"
"Bradi1g44269.1"	"GO:0000166;GO:0003676;GO:0003700;GO:0005515;GO:0005634;GO:0006355;GO:0008270"
"Bradi1g44283.1"	"unknown"
"Bradi1g44290.2"	"GO:0007010;GO:0008017"
"Bradi1g44297.7"	"unknown"
"Bradi1g44307.3"	"GO:0008641"
"Bradi1g44317.1"	"GO:0005216;GO:0005249;GO:0005515;GO:0006811;GO:0006813;GO:0016020;GO:0055085"
"Bradi1g44340.2"	"GO:0005515"
"Bradi1g44390.1"	"GO:0004842;GO:0005488;GO:0016567"
"Bradi1g44425.2"	"GO:0005515"
"Bradi1g44430.2"	"GO:0003824;GO:0004553;GO:0005975"
"Bradi1g44440.3"	"GO:0003924;GO:0005525"
"Bradi1g44460.1"	"GO:0003872;GO:0005524;GO:0006002;GO:0006096;GO:0047334"
"Bradi1g44470.1"	"GO:0016757"
"Bradi1g44480.1"	"GO:0004739;GO:0006086;GO:0008152;GO:0016624;GO:0043231"
"Bradi1g44510.1"	"unknown"
"Bradi1g44520.1"	"GO:0003700;GO:0005667;GO:0006355"
"Bradi1g44530.1"	"GO:0000166;GO:0003676;GO:0004813;GO:0005524;GO:0005737;GO:0006419;GO:0016876;GO:0043039"
"Bradi1g44542.1"	"GO:0043531"
"Bradi1g44550.1"	"GO:0003824;GO:0004553;GO:0004559;GO:0005975;GO:0006013;GO:0008270;GO:0015923;GO:0030246"
"Bradi1g44560.2"	"GO:0005488"
"Bradi1g44577.1"	"GO:0005515"
"Bradi1g44600.1"	"unknown"
"Bradi1g44611.1"	"unknown"
"Bradi1g44620.1"	"GO:0008168"
"Bradi1g44630.1"	"GO:0008152;GO:0016758"
"Bradi1g44640.7"	"unknown"
